type,gw,position,fpl_id,opta_id,name,player_position,points,is_top_player
gw,18,11,64,178301,Ollie Watkins,FWD,12,False
gw,19,1,287,111234,Jordan Pickford,GK,10,False
gw,19,2,5,226597,Gabriel Magalhães,DEF,15,False
gw,19,3,694,200834,Nordi Mukiele,DEF,11,False
gw,19,4,407,465351,Matheus Nunes,DEF,11,False
gw,19,5,568,441164,Pedro Porro Sauceda,DEF,10,False
gw,19,6,303,232928,James Garner,MID,16,True
gw,19,7,20,116216,Leandro Trossard,MID,13,False
gw,19,8,612,224024,Lucas Tolentino Coelho de Lima,MID,13,False
gw,19,9,488,208706,Bruno Guimarães,MID,10,False
gw,19,10,86,111317,David Brooks,MID,10,False
gw,19,11,283,231747,Jean-Philippe Mateta,FWD,9,False
gw,2,1,287,111234,Jordan Pickford,GK,15,False
gw,2,2,8,445122,Jurriën Timber,DEF,24,True
gw,2,3,7,466075,Riccardo Calafiori,DEF,13,False
gw,2,4,685,242882,Bafodé Diakité,DEF,10,False
gw,2,5,205,172567,Josh Cullen,MID,14,False
gw,2,6,200,444180,Jaidon Anthony,MID,13,False
gw,2,7,83,533463,Dango Ouattara,MID,13,False
gw,2,8,419,114283,Jack Grealish,MID,11,False
gw,2,9,84,201658,Marcus Tavernier,MID,11,False
gw,2,10,249,475168,João Pedro,FWD,15,False
gw,2,11,666,224117,Viktor Gyökeres,FWD,12,False
gw,20,1,139,489639,Bart Verbruggen,GK,7,False
gw,20,2,684,465642,Malick Thiaw,DEF,17,True
gw,20,3,633,490721,Hugo Bueno,DEF,11,False
gw,20,4,106,432830,Nathan Collins,DEF,10,False
gw,20,5,21,204480,Declan Rice,MID,17,False
gw,20,6,54,122806,John McGinn,MID,15,False
gw,20,7,166,509416,Yasin Ayari,MID,12,False
gw,20,8,125,204580,Vitaly Janelt,MID,11,False
gw,20,9,237,448047,Enzo Fernández,MID,11,False
gw,20,10,136,502500,Igor Thiago,FWD,17,False
gw,20,11,749,647671,Mateus Mané,FWD,12,False
gw,21,1,101,200720,Caoimhín Kelleher,GK,13,False
gw,21,2,106,432830,Nathan Collins,DEF,13,False
gw,21,3,723,651426,Jaydee Canvot,DEF,10,False
gw,21,4,37,101188,Lucas Digne,DEF,9,False
gw,21,5,487,201666,Harvey Barnes,MID,15,True
gw,21,6,350,427637,Brenden Aaronson,MID,14,False
gw,21,7,488,208706,Bruno Guimarães,MID,11,False
gw,21,8,330,207189,Sander Berge,MID,10,False
gw,21,9,584,511499,Mathys Tel,MID,10,False
gw,21,10,681,485711,Benjamin Sesko,FWD,13,False
gw,21,11,136,502500,Igor Thiago,FWD,12,False
gw,22,1,220,215059,Robert Lynch Sánchez,GK,11,False
gw,22,2,441,596777,Patrick Dorgu,DEF,15,True
gw,22,3,706,220627,James Justin,DEF,9,False
gw,22,4,684,465642,Malick Thiaw,DEF,9,False
gw,22,5,473,487838,Lewis Hall,DEF,9,False
gw,22,6,449,141746,Bruno Fernandes,MID,10,False
gw,22,7,382,494595,Florian Wirtz,MID,10,False
gw,22,8,615,450070,Crysencio Summerville,MID,10,False
gw,22,9,712,488024,Yéremy Pino Santos,MID,9,False
gw,22,10,708,551226,Mateus Fernandes,MID,9,False
gw,22,11,730,441264,Brian Brobbey,FWD,9,False
gw,23,1,32,98980,Emiliano Martínez Romero,GK,10,False
gw,23,2,407,465351,Matheus Nunes,DEF,11,False
gw,23,3,507,159506,Ola Aina,DEF,11,False
gw,23,4,569,221632,Cristian Romero,DEF,11,False
gw,23,5,387,424876,Dominik Szoboszlai,MID,13,False
gw,23,6,238,624773,Estêvão,MID,13,True
gw,23,7,166,509416,Yasin Ayari,MID,11,False
gw,23,8,50,195546,Emiliano Buendía Stati,MID,11,False
gw,23,9,329,153682,Harry Wilson,MID,10,False
gw,23,10,249,475168,João Pedro,FWD,12,False
gw,23,11,624,178186,Jarrod Bowen,FWD,12,False
gw,24,1,101,200720,Caoimhín Kelleher,GK,10,False
gw,24,2,541,434399,Reinildo Mandava,DEF,11,False
gw,24,3,374,204716,Ibrahima Konaté,DEF,11,False
gw,24,4,531,223827,Daniel Ballard,DEF,9,False
gw,24,5,18,248857,Noni Madueke,MID,14,False
gw,24,6,544,547027,Habib Diarra,MID,14,True
gw,24,7,457,61256,Casemiro,MID,13,False
gw,24,8,90,503139,Alex Scott,MID,13,False
gw,24,9,382,494595,Florian Wirtz,MID,12,False
gw,24,10,661,510663,Hugo Ekitiké,FWD,13,False
gw,24,11,596,154566,Dominic Solanke-Mitchell,FWD,12,False
gw,25,1,679,467189,Mads Hermansen,GK,10,False
gw,25,2,440,216051,Diogo Dalot,DEF,12,False
gw,25,3,257,437499,Maxence Lacroix,DEF,11,False
gw,25,4,603,613804,El Hadji Malick Diouf,DEF,9,False
gw,25,5,235,244851,Cole Palmer,MID,20,True
gw,25,6,242,215413,Kiernan Dewsbury-Hall,MID,13,False
gw,25,7,83,533463,Dango Ouattara,MID,12,False
gw,25,8,356,486520,Ilia Gruev,MID,11,False
gw,25,9,488,208706,Bruno Guimarães,MID,11,False
gw,25,10,666,224117,Viktor Gyökeres,FWD,12,False
gw,25,11,430,223094,Erling Haaland,FWD,11,False
gw,26,1,628,149065,José Sá,GK,13,False
gw,26,2,373,97032,Virgil van Dijk,DEF,17,True
gw,26,3,725,448104,Piero Hincapié,DEF,15,False
gw,26,4,411,472769,Nico O'Reilly,DEF,13,False
gw,26,5,40,149484,Tyrone Mings,DEF,12,False
gw,26,6,21,204480,Declan Rice,MID,14,False
gw,26,7,82,437730,Antoine Semenyo,MID,14,False
gw,26,8,16,223340,Bukayo Saka,MID,13,False
gw,26,9,18,248857,Noni Madueke,MID,13,False
gw,26,10,235,244851,Cole Palmer,MID,12,False
gw,26,11,654,247412,Jørgen Strand Larsen,FWD,13,False
gw,27,1,253,172649,Dean Henderson,GK,16,False
gw,27,2,411,472769,Nico O'Reilly,DEF,17,True
gw,27,3,258,244723,Tyrick Mitchell,DEF,11,False
gw,27,4,373,97032,Virgil van Dijk,DEF,11,False
gw,27,5,266,232413,Eberechi Eze,MID,14,False
gw,27,6,324,153133,Alex Iwobi,MID,13,False
